ID,Name,Table_name,Type,Alias,Intro
d7d8b29a379111ec9a7c1e0062022f71,city,city,TAB,城市表,城市表记录了每个城市的经纬度信息。
d7db6758379111ec85ff1e0062022f71,id,city,COL,城市编号,
d7db7d9a379111eca0491e0062022f71,province,city,COL,省份,
d7db8358379111eca09a1e0062022f71,name,city,COL,城市,
d7db8a92379111ec9a011e0062022f71,adcode,city,COL,地址编码,
d7db9046379111ec8c101e0062022f71,citycode,city,COL,行政编码,
d7db9746379111ec936e1e0062022f71,latitude,city,COL,纬度,
d7db9a3a379111ec9c951e0062022f71,longitude,city,COL,经度,
d7db9e42379111ecad2f1e0062022f71,pid,city,COL,省份编码,
d7dbac52379111ec95a41e0062022f71,customer,customer,TAB,客户表,客户表记录了客户所在的城市。
d7dbc192379111ec9d441e0062022f71,name,customer,COL,名称,
d7dbca3e379111eca01f1e0062022f71,city,customer,COL,城市,
d7dbd042379111ec9cc31e0062022f71,province,customer,COL,省份,
d7dbd77a379111ec9c061e0062022f71,id,customer,COL,客户编号,
d7dbe0e6379111ec80931e0062022f71,order,order,TAB,订单表,订单表记录了客户的需求。
d7dbf2e8379111ec857b1e0062022f71,id,order,COL,客户编号,
d7dbfdf6379111eca35b1e0062022f71,customer_name,order,COL,客户名称,
d7dc0274379111ecb4671e0062022f71,product,order,COL,产品,
d7dc06fa379111ec8f7c1e0062022f71,quantity,order,COL,数量,
d7dc0b7a379111ec86681e0062022f71,arrivalTime,order,COL,到达时间,
